Energy,A1D0,Energy,A1D1,Energy,A1D2,Energy,A2D1,Energy,A2D2
527.5,1.60E-10,527.5,5.09E-11,527.5,5.39E-11,527.5,2.88E-11,527.5,2.38E-11
532.5,1.83E-10,532.5,4.27E-10,532.5,6.71E-10,532.5,1.06E-10,532.5,2.13E-13
535,9.53E-10,535,5.69E-10,535,7.78E-10,535,3.23E-10,535,1.65E-10
536.5,2.68E-09,537.5,2.81E-10,537.5,9.18E-10,537.5,2.67E-10,537.5,6.51E-13
537.5,1.26E-09,538.75,1.92E-09,540,1.04E-09,540,1.03E-10,540,1.44E-10
537.5,8.37E-10,540,1.42E-09,542.5,1.03E-09,542.5,5.27E-11,542.5,2.48E-10
538.5,1.56E-09,541.25,2.24E-09,543.75,9.46E-10,543.75,6.54E-10,543.75,3.70E-10
540,2.07E-09,542.5,7.06E-10,545,8.49E-10,545,3.74E-10,545,1.46E-10
541.5,9.24E-10,543.75,2.19E-09,547.5,6.92E-10,547.5,2.57E-10,547.5,3.15E-10
542.5,2.94E-09,545,2.29E-09,550,8.41E-10,550,5.26E-10,550,5.59E-10
543.75,2.57E-09,546.25,2.13E-09,557.5,6.76E-10,557.5,2.83E-10,557.5,3.64E-10
544,8.10E-09,547.5,2.39E-10,567.5,6.92E-10,567.5,4.78E-10,567.5,2.55E-10
545,3.69E-09,548.5,8.23E-10,572.5,5.47E-10,572.5,2.65E-10,572.5,1.13E-10
547.5,2.69E-09,550,1.08E-09,,,,,,
550,1.98E-09,557.5,6.98E-10,,,,,,
557.5,2.75E-09,567.5,2.66E-10,,,,,,
567.5,1.15E-09,572.5,1.10E-10,,,,,,
572.5,1.95E-10,,,,,,,,
