Energy,LUMO,sx
531.06062,0.14065,0.11341
531.19451,0.16372,0.09482
531.31807,0.1864,0.07868
531.42618,0.2101,0.06791
531.53429,0.2339,0.05959
531.64916,0.25678,0.0547
531.76982,0.27874,0.05128
531.95045,0.29784,0.04638
532.14963,0.30091,0.04394
532.40795,0.30034,0.04051
532.62603,0.3105,0.03953
532.79302,0.33692,0.03562
532.89148,0.3615,0.03464
532.97643,0.38682,0.03464
533.05076,0.40884,0.03366
533.11598,0.43295,0.03073
533.20767,0.46086,0.02877
533.29497,0.48663,0.02877
533.40308,0.51092,0.02877
533.56396,0.52284,0.02877
533.72163,0.50131,0.02877
533.80464,0.47489,0.02877
533.88049,0.44931,0.02877
533.9533,0.42401,0.02877
534.017,0.39856,0.02877
534.08071,0.37508,0.02877
534.14442,0.35208,0.02877
534.21723,0.32769,0.02877
534.29308,0.30505,0.02877
534.35678,0.28492,0.02877
534.45117,0.26255,0.02877
534.55756,0.23951,0.02877
534.66825,0.21925,0.02877
534.82964,0.19934,0.02877
535.05581,0.18598,0.03317
535.27298,0.17777,0.03464
535.52933,0.17902,0.03953
535.75838,0.19014,0.04492
535.98726,0.20416,0.05226
536.19934,0.22968,0.06498
536.35299,0.25668,0.08748
536.46979,0.28055,0.11733
536.56535,0.30463,0.14745
536.63968,0.32664,0.1868
536.70339,0.34964,0.22965
536.7671,0.37312,0.26851
536.83081,0.39759,0.2871
536.89907,0.42331,0.28123
536.95822,0.45092,0.25995
537.00525,0.47531,0.22399
537.05733,0.50229,0.18142
537.0998,0.52773,0.14385
537.14227,0.55219,0.11586
537.18474,0.57764,0.08944
537.22368,0.60288,0.06644
537.26261,0.63048,0.05519
537.30862,0.66067,0.04687
537.35463,0.69066,0.04247
537.39357,0.71913,0.04051
537.4325,0.74741,0.03758
537.47497,0.77677,0.03464
537.51744,0.80612,0.03464
537.55992,0.83548,0.03464
537.60239,0.86533,0.03611
537.6484,0.89552,0.03904
537.69441,0.9255,0.04051
537.73689,0.95437,0.04149
537.77936,0.98128,0.04638
537.82183,1.00721,0.04932
537.8729,1.03559,0.05323
537.91385,1.06103,0.06008
537.96088,1.08508,0.06742
537.98818,1.10957,0.07819
538.06099,1.13582,0.09091
538.13684,1.16219,0.10999
538.28018,1.18219,0.13613
538.42352,1.17503,0.16469
538.42883,1.15522,0.20784
538.49077,1.13295,0.24356
538.54032,1.11074,0.28906
538.5828,1.08256,0.34456
538.62527,1.0532,0.39572
538.6465,1.03031,0.4422
538.68898,1.00623,0.49218
538.72791,0.97688,0.54984
538.75623,0.94556,0.62506
538.79516,0.91376,0.58066
538.83763,0.87854,0.69678
538.8801,0.84603,0.65112
538.90559,0.81836,0.75778
538.94381,0.79194,0.82334
538.98628,0.76551,0.78615
539.00752,0.74262,0.8823
539.04999,0.71737,0.96397
539.06769,0.69115,0.92853
539.1137,0.66981,1.04118
539.15617,0.64264,1.00926
539.19865,0.61639,1.13675
539.23758,0.59134,1.08852
539.28966,0.56464,1.20631
539.3473,0.54124,1.16191
539.40393,0.51648,1.26675
539.4641,0.49642,1.33805
539.52781,0.47489,1.29695
539.61157,0.45336,1.39676
539.72955,0.4317,1.45205
539.91643,0.42264,1.49706
540.12375,0.43434,1.53408
540.25102,0.46152,1.57681
540.3454,0.48663,1.51418
540.41973,0.50865,1.47455
540.48344,0.53262,1.43727
540.53653,0.55591,1.40028
540.60024,0.57813,1.3586
540.66395,0.60112,1.31456
540.73676,0.6267,1.28423
540.82322,0.65015,1.24059
540.97423,0.66946,1.20007
541.13721,0.65774,1.16044
541.18424,0.63635,1.12257
541.26766,0.61119,1.07384
541.32227,0.58527,1.02805
541.38598,0.55904,0.98675
541.41571,0.53654,0.93734
541.46031,0.5155,0.90064
541.52553,0.48831,0.86101
541.58317,0.4577,0.82432
541.6302,0.4333,0.78733
541.70452,0.40639,0.74946
541.77733,0.37718,0.71423
541.83194,0.3516,0.67607
541.89565,0.3286,0.64158
541.96846,0.30421,0.60782
542.03369,0.2831,0.57068
542.09739,0.26206,0.52978
542.18116,0.2407,0.49201
542.26846,0.21949,0.44636
542.38408,0.1965,0.39513
542.52035,0.17375,0.35638
542.67836,0.15114,0.31303
542.88181,0.13051,0.26876
543.09141,0.11652,0.22923
543.20168,0.10501,0.19463
543.41581,0.10036,0.16129
543.60635,0.09359,0.13396
543.80691,0.09033,0.10607
544.05175,0.0848,0.08797
544.29231,0.08131,0.07378
544.51226,0.07418,0.064
544.73221,0.06705,0.05519
544.94223,0.05984,0.04981
545.18727,0.05617,0.04443
545.42087,0.05377,0.04002
545.65446,0.04923,0.03513
545.88806,0.04923,0.03366
546.11883,0.04375,0.02926
546.35526,0.04336,0.02877
546.6076,0.03818,0.02877
546.80426,0.03686,0.02437
547.05606,0.03749,0.0229
547.28966,0.03749,0.0229
547.52325,0.03749,0.0229
547.75685,0.03749,0.02241
547.96535,0.03749,0.01996
,,0.01996
,,0.01752
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01703
,,0.01458
,,0.01409
,,0.01409
,,0.01409
,,0.01409
,,0.01409
,,0.01409
,,0.01409
,,0.01409
,,0.01409
,,0.01556
,,0.01556
,,0.01409
,,0.01409
,,0.01409
