Histogram Bin,Scatter Peak,Sat. Corr.,Raw Data
-46936.8,4,0,0
-41089.7,17,0,0
-35242.6,57,0,0
-29395.4,203,0,0
-23548.3,663,0,0
-17701.2,1769,0,0
-11854.1,4183,0,0
-6006.96,7958,0,0
-159.84,8700,11097,11097
5687.28,8923,11352,11352
11534.4,9104,12007,12007
17381.5,9220,12044,12044
23228.6,8849,11647,11647
29075.8,8344,10724,10724
34922.9,7699,9767,9765
40770,6831,8406,8399
46617.1,6113,7938,7921
52464.2,5380,6654,6570
58311.4,4578,4543,15976
64158.5,3855,1534,0
70005.6,3120,1718,0
75852.7,2542,1795,0
81699.8,2149,1542,0
87547,1697,1248,0
93394.1,1382,974,0
99241.2,1032,706,0
105088,830,576,0
110935,579,411,0
116783,428,245,0
122630,317,194,0
128477,246,109,0
134324,197,89,0
140171,131,55,0
146018,115,41,0
151865,74,27,0
157712,59,18,0
163560,44,12,0
169407,29,12,0
175254,30,8,0
181101,11,2,0
186948,10,0,0
192795,11,0,0
198642,5,1,0
204489,5,3,0
210336,2,0,0
216184,2,2,0
222031,1,1,0
227878,1,0,0
233725,2,0,0
239572,1,0,0
